section-summary,section-stack
머신러닝,"['PyTorch', 'Python', 'Tensorflow']"
게임클라이언트,"['C#', 'C++']"
"서버/백엔드,머신러닝,블록체인","['Git', 'Spring', 'Python', 'MySQL', 'Java']"
아이폰앱,"['iOS', 'Objective-C', 'Swift']"
프론트엔드,"['Git', 'Nuxt.js', 'Next.js', 'Amazon Web Services(AWS)', 'Less.js', 'Sass(SCSS)', 'Redux.js', 'Vuex', 'Webpack', 'ES6', 'Vue.js', 'ReactJS', 'Node.js', 'CSS', 'HTML', 'JavaScript']"
"서버/백엔드,사물인터넷(IoT)",['Java']
데이터엔지니어,"['GCP(Google Cloud Platform)', 'SQL', 'Apache Spark', 'Apache Hadoop', 'JavaScript', 'Python', 'Java']"
서버/백엔드,"['JavaScript', 'HTML5', 'MySQL', 'Nginx', 'Amazon Web Services(AWS)', 'Jenkins', 'Docker', 'Git', 'Laravel', 'PHP']"
서버/백엔드,"['JavaScript', 'HTML5', 'Docker', 'Amazon Web Services(AWS)', 'Git', 'REST API', 'Django', 'Python']"
"서버/백엔드,웹풀스택,시스템/네트워크","['Git', 'Docker', 'Amazon Web Services(AWS)']"
"웹풀스택,인공지능(AI),게임클라이언트","['Python', 'Tensorflow', 'Unity', 'C++', 'Java']"
"서버/백엔드,인공지능(AI),데이터엔지니어","['Tensorflow', 'Python', 'C++']"
"머신러닝,데이터엔지니어","['Torch', 'Tensorflow', 'Machine Learning', 'Deep Learning']"
"서버/백엔드,웹풀스택,시스템소프트웨어","['MSSQL(Microsoft SQL Server)', 'HTML', 'JavaScript', 'Node.js', 'Spring', 'MySQL', 'Java']"
"게임클라이언트,게임서버,시스템/네트워크","['Autodesk Maya', '3Ds Max', 'Unity']"
서버/백엔드,"['Jenkins', 'JavaScript', 'Amazon Web Services(AWS)', 'Docker', 'REST API', 'Database', 'Python']"
안드로이드앱,"['Firebase', 'RxJava', 'Kotlin']"
아이폰앱,"['Firebase', 'iOS', 'Swift']"
인공지능(AI),"['Scikit-Learn', 'OpenCV', 'Deep Learning', 'Machine Learning']"
"머신러닝,인공지능(AI),데이터엔지니어","['Tableau', 'Apache Spark', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['Oracle Database', 'HTML', 'jQuery', 'JavaScript', 'Spring', 'Java']"
안드로이드앱,"['RxJava', 'Kotlin', 'Android', 'Java']"
"서버/백엔드,프론트엔드,아이폰앱","['C++', 'iOS', 'Swift']"
"프론트엔드,안드로이드앱","['Kotlin', 'Java', 'Android']"
"프론트엔드,시스템소프트웨어,응용프로그램","['MFC', 'C++', 'C']"
아이폰앱,"['Objective-C', 'Swift', 'iOS', 'Realm', 'REST API', 'Firebase']"
서버/백엔드,"['AWS EC2', 'Spring Batch', 'Spring Boot', 'Java']"
"머신러닝,인공지능(AI)","['SQL', 'R', 'Tensorflow', 'Python']"
"웹풀스택,안드로이드앱,아이폰앱","['Node.js', 'ReactJS', 'CSS']"
서버/백엔드,"['ExpressJS', 'JavaScript', 'MySQL', 'AWS RDS', 'AWS EC2', 'Nginx', 'Node.js']"
"서버/백엔드,프론트엔드,블록체인","['Vue.js', 'ReactJS', 'MongoDB', 'Node.js', 'REST API', 'AngularJS', 'Git', 'Blockchain', 'Java']"
"머신러닝,인공지능(AI)","['NLP', 'Python']"
"머신러닝,모바일게임","['PyTorch', 'Tensorflow', 'Python']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow', 'Python']"
"머신러닝,인공지능(AI),데이터엔지니어","['Docker', 'Deep Learning', 'PyTorch', 'Tensorflow', 'NLP', 'Python', 'Apache Spark', 'Apache Hadoop']"
데이터엔지니어,"['AWS DynamoDB', 'MySQL', 'Python']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow', 'Python']"
"머신러닝,인공지능(AI)","['Tensorflow', 'PyTorch', 'Python']"
머신러닝,"['Python', 'Tensorflow']"
머신러닝,"['Python', 'Tensorflow']"
"머신러닝,인공지능(AI)","['GCP(Google Cloud Platform)', 'R', 'Tensorflow', 'Apache Spark', 'Pandas', 'Tableau', 'MySQL', 'Google BigQuery', 'Python']"
"머신러닝,인공지능(AI),데이터엔지니어","['Tensorflow', 'Keras', 'Pandas', 'MongoDB', 'Ubuntu', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['AWS RDS', 'AWS S3', 'AWS EC2', 'Jenkins']"
서버/백엔드,"['Python', 'Flask', 'REST API', 'SQLAlchemy', 'MySQL', 'MongoDB', 'Amazon Web Services(AWS)', 'Git', 'Linux']"
머신러닝,"['Tensorflow', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript']"
"머신러닝,인공지능(AI)","['Tensorflow', 'PyTorch', 'Python']"
"서버/백엔드,머신러닝,인공지능(AI)","['Python', 'Tensorflow', 'PyTorch']"
모바일게임,"['R', 'Python']"
서버/백엔드,"['JavaScript', 'Python', 'Scala', 'Java', 'Go']"
서버/백엔드,"['Spring', 'Node.js', 'Python', 'Django', 'MySQL']"
"서버/백엔드,시스템소프트웨어,응용프로그램","['MySQL', 'Django', 'Python']"
인공지능(AI),"['NLP', 'Tensorflow', 'PyTorch', 'Python']"
안드로이드앱,"['Git', 'JNI(Java Native Interface)', 'Ndk', 'C++', 'C', 'Kotlin', 'Java']"
서버/백엔드,"['JavaScript', 'Git', 'Docker', 'AWS EC2', 'AWS RDS', 'MySQL', 'ExpressJS', 'Node.js']"
"프론트엔드,웹풀스택","['ReactJS', 'Redux.js', 'TypeScript', 'RxJS', 'CSS', 'HTML', 'JavaScript', 'ES6']"
"서버/백엔드,웹풀스택","['Ruby on Rails', 'Python', 'Redis', 'Nginx', 'PostgreSQL', 'Amazon Web Services(AWS)']"
"서버/백엔드,웹풀스택,데이터엔지니어","['JavaScript', 'Python', 'C++', 'OpenLayers', 'WebGL']"
"서버/백엔드,웹풀스택","['Ubuntu', 'DRF(Django REST framework)', 'GitHub', 'CSS', 'HTML', 'Python', 'MySQL']"
"머신러닝,인공지능(AI)","['Scala', 'Java', 'Python']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow', 'Python']"
"머신러닝,인공지능(AI)","['Deep Learning', 'Machine Learning', 'Tensorflow']"
"서버/백엔드,프론트엔드,응용프로그램","['jQuery', 'HTML', 'JavaScript', 'Spring', 'MySQL', 'Java']"
머신러닝,"['Java', 'Linux', 'SQL', 'Python']"
서버/백엔드,"['jQuery', 'REST API', 'Linux', 'Spring', 'Java']"
시스템/네트워크,"['Cloud Foundry', 'REST API']"
프론트엔드,"['Cross Browsing', 'ECMAScript(ES)', 'HTML5', 'CSS', 'HTML']"
"서버/백엔드,프론트엔드,웹풀스택","['Vue.js', 'GitHub', 'REST API', 'React Admin', 'React Native', 'Python', 'JavaScript', 'HTML']"
안드로이드앱,"['GitHub', 'JavaScript', 'ExoPlayer', 'MVVM(Model-View-ViewModel)', 'MVP', 'React Native', 'Android']"
아이폰앱,"['JavaScript', 'Objective-C', 'iOS', 'React Native']"
"서버/백엔드,프론트엔드,웹풀스택","['Spring', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Vue.js', 'ReactJS', 'CSS', 'HTML', 'JavaScript', 'PHP', 'Java']"
"프론트엔드,웹풀스택","['jQuery', 'JavaScript', 'MySQL', 'Java', 'ReactJS', 'AngularJS', 'Vue.js']"
서버/백엔드,"['MySQL', 'Spring', 'Java', 'Apache Lucene', 'Apache Solr', 'Elasticsearch']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow']"
"서버/백엔드,프론트엔드","['Node.js', 'JIRA', 'Git', 'Java', 'MVC', 'CSS', 'HTML', 'Linux', 'Spring', 'JavaScript', 'Adobe Photoshop', 'PHP']"
아이폰앱,"['JavaScript', 'Swift', 'iOS']"
프론트엔드,"['Webpack', 'AngularJS', 'Vue.js']"
"안드로이드앱,아이폰앱,시스템소프트웨어","['Appium', 'Gradle', 'Firebase', 'REST API', 'iOS', 'Android']"
"서버/백엔드,모바일게임,시스템/네트워크","['AWS DynamoDB', 'Jenkins', 'Kubernetes', 'Node.js']"
"머신러닝,인공지능(AI),데이터엔지니어","['Python', 'Apache Spark', 'Tableau']"
아이폰앱,"['Firebase', 'iOS', 'Swift']"
"서버/백엔드,사물인터넷(IoT)","['AWS EC2', 'Spring', 'AWS S3', 'Git', 'Java', 'MySQL']"
안드로이드앱,"['Kotlin', 'Android', 'Firebase']"
서버/백엔드,"['AWS EC2', 'Node.js', 'MySQL']"
"서버/백엔드,프론트엔드,시스템소프트웨어","['NoSQL', 'Aurora DB', 'MariaDB', 'Node.js', 'AWS EC2', 'GCP(Google Cloud Platform)', 'Google BigQuery', 'GraphQL', 'Tensorflow', 'Python', 'ReactJS', 'MySQL', 'Java']"
"서버/백엔드,웹풀스택,안드로이드앱","['SQL', 'Amazon Web Services(AWS)', 'ExpressJS', 'REST API', 'Android', 'React Native', 'ReactJS', 'Python', 'AWS RDS', 'Node.js']"
"서버/백엔드,웹풀스택,데이터엔지니어","['Node.js', 'Go', 'Python']"
"서버/백엔드,프론트엔드,웹풀스택","['ReactJS', 'JavaScript', 'HTML']"
"서버/백엔드,프론트엔드,웹풀스택","['Scala', 'Akka', 'JavaScript']"
"머신러닝,인공지능(AI),데이터엔지니어","['ML Kit', 'R', 'Python']"
서버/백엔드,"['Spring', 'Java']"
안드로이드앱,"['Kotlin', 'Java', 'Android']"
"서버/백엔드,웹풀스택","['Git', 'Docker', 'Redis', 'RethinkDB', 'MySQL', 'GraphQL', 'ReactJS', 'JavaScript', 'Node.js']"
아이폰앱,"['Swift', 'iOS']"
안드로이드앱,"['Kotlin', 'Android']"
"웹풀스택,안드로이드앱,인공지능(AI)","['Android', 'REST API', 'iOS', 'PHP', 'MySQL', 'JavaScript']"
"서버/백엔드,웹풀스택,데이터엔지니어","['ReactJS', 'Docker', 'MySQL', 'Node.js']"
"프론트엔드,웹풀스택","['jQuery', 'CSS', 'HTML', 'AngularJS', 'Vue.js', 'React Native', 'ReactJS']"
"게임클라이언트,시스템소프트웨어,응용프로그램","['JavaScript', 'Unity', 'QML', 'Qt', 'ROS', 'C++']"
"서버/백엔드,프론트엔드,웹풀스택","['JSP', 'jQuery', 'HTML', 'JavaScript', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['jQuery', 'HTML', 'JavaScript', 'MySQL', 'Java']"
"서버/백엔드,웹풀스택","['JSP', 'Framework7', 'jQuery', 'JavaScript', 'Java']"
"데이터엔지니어,시스템/네트워크,시스템소프트웨어","['Tibero', 'Oracle Database', 'MySQL', 'DBA(Database administration)']"
서버/백엔드,"['MySQL', 'JPA(Java Persistent API)', 'Spring']"
프론트엔드,"['CSS', 'ReactJS', 'JavaScript']"
"프론트엔드,웹풀스택","['TypeScript', 'Redux.js', 'Next.js', 'Node.js', 'Java', 'ES6', 'ReactJS', 'CSS', 'HTML', 'JavaScript']"
서버/백엔드,"['Java', 'Git', 'Ruby on Rails', 'Python', 'Node.js', 'PHP']"
서버/백엔드,"['Git', 'Ruby on Rails', 'Java', 'Python', 'PHP', 'Node.js']"
서버/백엔드,"['Flask', 'Django', 'Ruby on Rails', 'MySQL', 'Java', 'Git', 'Node.js', 'Python', 'PHP', 'BitBucket', 'CodeIgniter', 'Jenkins']"
프론트엔드,"['SQL', 'Angular', 'Node.js', 'HTML', 'JavaScript']"
서버/백엔드,"['Git', 'Database', 'SQL', 'Java']"
안드로이드앱,"['Java', 'Kotlin']"
응용프로그램,"['OpenCV', 'ITK', 'Qt', 'C++']"
"서버/백엔드,프론트엔드,데이터엔지니어","['MySQL', 'HTML', 'JavaScript', 'Vue.js', 'PHP']"
"서버/백엔드,프론트엔드,웹풀스택","['Spring', 'Java', 'CSS', 'jQuery', 'Git', 'HTML', 'React Native', 'JavaScript', 'PHP', 'CodeIgniter', 'Amazon Web Services(AWS)']"
서버/백엔드,"['Node.js', 'Redis', 'Docker', 'Amazon Web Services(AWS)', 'MariaDB', 'PHP', 'Laravel']"
"서버/백엔드,프론트엔드,웹풀스택","['JavaScript', 'Node.js', 'TypeScript', 'Sass(SCSS)', 'CSS', 'HTML', 'React Native', 'ReactJS', 'Docker']"
"서버/백엔드,머신러닝,인공지능(AI)","['Image Processing', 'OpenCV']"
"머신러닝,인공지능(AI)","['NLP', 'Tensorflow', 'PyTorch', 'Python']"
"서버/백엔드,머신러닝,인공지능(AI)","['Git', 'Docker', 'Django', 'PyTorch', 'Tensorflow', 'Python']"
프론트엔드,"['HTML', 'CSS', 'Node.js', 'ReactJS', 'JavaScript']"
"프론트엔드,웹풀스택","['Webpack', 'Vue.js', 'ReactJS', 'CSS', 'HTML', 'JavaScript']"
"머신러닝,데이터엔지니어","['SQL', 'Python']"
아이폰앱,"['REST API', 'iOS', 'Swift', 'Objective-C']"
웹풀스택,"['ReactJS', 'Node.js', 'Vue.js', 'Kotlin', 'AWS Backup', 'Redis', 'MySQL', 'Java']"
안드로이드앱,"['Kotlin', 'Android', 'Java', 'Gradle', 'RxJava']"
"머신러닝,인공지능(AI)","['Tensorflow', 'Python', 'PyTorch']"
"머신러닝,인공지능(AI)","['Tensorflow', 'Machine Learning', 'Deep Learning']"
"머신러닝,인공지능(AI),데이터엔지니어","['Keras', 'Pandas', 'NLP', 'Tensorflow', 'PyTorch', 'Python']"
"머신러닝,인공지능(AI),데이터엔지니어","['Linux', 'Docker', 'Python', 'Machine Learning', 'NLP']"
"머신러닝,인공지능(AI),데이터엔지니어","['Apache Hadoop', 'Apache Spark', 'Python', 'NLP', 'PyTorch', 'Deep Learning', 'AWS EC2', 'AWS EMR', 'Docker']"
"머신러닝,인공지능(AI)","['PyTorch', 'Tensorflow', 'Python']"
"서버/백엔드,머신러닝,인공지능(AI)","['Docker', 'Python', 'Keras', 'Tensorflow']"
"프론트엔드,웹풀스택","['JavaScript', 'Linux', 'PHP', 'MySQL', 'iOS', 'Android', 'Java']"
안드로이드앱,"['Android', 'MVVM(Model-View-ViewModel)', 'Kotlin']"
아이폰앱,"['RxSwift', 'Swift']"
"서버/백엔드,웹풀스택,모바일게임","['Git', 'Java']"
"서버/백엔드,웹풀스택","['Linux', 'Java', 'MySQL', 'Spring Boot']"
"프론트엔드,웹풀스택","['Vue.js', 'ES6', 'Webpack', 'Node.js', 'CSS', 'JavaScript']"
"프론트엔드,웹풀스택","['Redux-Saga', 'Redux.js', 'MobX', 'TypeScript', 'Next.js', 'JavaScript', 'ES6', 'ReactJS']"
"서버/백엔드,웹풀스택,시스템/네트워크","['Docker', 'MySQL', 'AWS S3', 'AWS EC2', 'Spring Security', 'Spring Cloud', 'Spring Boot', 'Spring', 'Java']"
"프론트엔드,모바일게임","['C#', 'C++', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Spring', 'CodeIgniter', 'Git', 'Crawling', 'Selenium', 'SVN(Apache Subversion)', 'MVC', 'PHP', 'Java', 'Ajax', 'jQuery', 'MariaDB', 'MySQL']"
아이폰앱,"['Firebase', 'REST API', 'React Native', 'iOS', 'Swift', 'Realm']"
안드로이드앱,"['Kotlin', 'Android', 'Java', 'Gradle', 'XML', 'Firebase', 'RxJava', 'Realm']"
"서버/백엔드,웹풀스택","['Git', 'JavaScript', 'Java', 'Spring']"
"모바일게임,게임클라이언트","['iOS', 'Android', 'C++', 'C#', 'Unity']"
"서버/백엔드,모바일게임,게임서버","['Amazon Web Services(AWS)', 'Git', 'Node.js', 'JavaScript']"
"서버/백엔드,데이터엔지니어,시스템/네트워크","['Redis', 'MongoDB', 'Git', 'PHP', 'Node.js']"
프론트엔드,"['jQuery', 'JavaScript', 'CSS', 'HTML']"
"프론트엔드,블록체인","['C++', 'C', 'Node.js', 'Java', 'AngularJS']"
"서버/백엔드,프론트엔드,웹풀스택","['MariaDB', 'AWS RDS', 'AWS EC2', 'Vue.js', 'Node.js', 'ReactJS', 'PHP', 'Java']"
안드로이드앱,"['Gradle', 'Android', 'XML', 'Kotlin', 'Java']"
안드로이드앱,"['MVVM(Model-View-ViewModel)', 'Kotlin', 'Android']"
아이폰앱,"['Swift', 'RxSwift']"
"프론트엔드,웹풀스택","['Redux.js', 'ES6', 'Python', 'MySQL', 'AngularJS', 'Vue.js', 'ReactJS', 'Node.js', 'CSS', 'HTML', 'JavaScript']"
"안드로이드앱,아이폰앱,시스템소프트웨어","['iOS', 'Android', 'DSP(Digital Signal Processing)', 'C++', 'C']"
서버/백엔드,"['Loopback', 'REST API', 'Node.js', 'JavaScript']"
"안드로이드앱,아이폰앱","['Java', 'Android', 'iOS']"
"시스템소프트웨어,응용프로그램","['OpenCV', 'Qt', 'C++']"
"프론트엔드,웹풀스택","['TypeScript', 'Redux-Saga', 'AngularJS', 'ReactJS', 'JavaScript']"
머신러닝,"['Tensorflow', 'Python']"
"서버/백엔드,데이터엔지니어,시스템소프트웨어","['Linux', 'NoSQL', 'Amazon Web Services(AWS)', 'AWS DynamoDB', 'PostgreSQL', 'Go']"
"서버/백엔드,시스템소프트웨어,인터넷보안","['Linux', 'Go', 'PostgreSQL', 'Kubernetes', 'Docker', 'Amazon Web Services(AWS)', 'Terraform']"
"프론트엔드,웹풀스택","['AngularJS', 'Vue.js', 'ReactJS', 'CSS', 'HTML', 'TypeScript']"
"서버/백엔드,프론트엔드,웹풀스택","['MySQL', 'PostgreSQL', 'JavaScript', 'ExpressJS', 'Node.js', 'TypeScript']"
"프론트엔드,웹풀스택","['ES6', 'JavaScript', 'HTML', 'CSS', 'RxJS', 'TypeScript', 'Redux.js', 'ReactJS']"
"프론트엔드,안드로이드앱,사물인터넷(IoT)","['Node.js', 'Android']"
"프론트엔드,게임클라이언트,응용프로그램","['Android', 'C#', 'Unity']"
"프론트엔드,웹풀스택","['Redux-Saga', 'TypeScript', 'AngularJS', 'ReactJS', 'CSS', 'HTML', 'JavaScript']"
서버/백엔드,"['Django', 'Python', 'REST API', 'Docker', 'Amazon Web Services(AWS)', 'JavaScript', 'Jenkins', 'Database']"
아이폰앱,"['Swift', 'Firebase', 'iOS']"
아이폰앱,"['RxSwift', 'Firebase', 'Swift']"
아이폰앱,"['RxSwift', 'Swift', 'Firebase']"
인공지능(AI),"['Python', 'NLP', 'Tensorflow']"
안드로이드앱,"['RxKotlin', 'Firebase', 'Kotlin']"
아이폰앱,"['RxSwift', 'Swift']"
"서버/백엔드,프론트엔드,웹풀스택","['OOP', 'Webpack', 'Node.js', 'CSS', 'HTML5', 'HTML', 'TypeScript', 'REST API', 'Spring', 'Java']"
프론트엔드,"['Webpack', 'Node.js', 'HTML', 'CSS', 'OOP', 'TypeScript']"
"머신러닝,인공지능(AI),데이터엔지니어","['Linux', 'PHP', 'Node.js', 'MySQL', 'NLP', 'Docker', 'SQL', 'Python']"
"서버/백엔드,안드로이드앱,모바일게임","['iOS', 'JavaScript', 'Android', 'React Native', 'Node.js', 'Django', 'Java']"
"서버/백엔드,웹풀스택","['Amazon Web Services(AWS)', 'PostgreSQL', 'Nginx', 'Redis', 'Python', 'Ruby on Rails']"
"서버/백엔드,웹풀스택,데이터엔지니어","['JavaScript', 'Python', 'C++', 'OpenLayers', 'WebGL']"
"서버/백엔드,웹풀스택,데이터엔지니어","['Node.js', 'MySQL', 'Docker', 'ReactJS']"
"서버/백엔드,시스템/네트워크,인터넷보안","['AWS Security Hub', 'Node.js', 'TypeScript', 'C#']"
"프론트엔드,안드로이드앱,아이폰앱","['Node.js', 'React Native', 'ExpressJS', 'TypeScript', 'GitHub', 'Azure']"
"프론트엔드,웹풀스택","['ReactJS', 'React Native', 'Vue.js', 'AngularJS', 'HTML', 'CSS', 'jQuery']"
"서버/백엔드,웹풀스택","['Node.js', 'React Native', 'ExpressJS', 'TypeScript', 'NestJS', 'GitHub', 'Azure']"
서버/백엔드,"['Spring', 'Java']"
서버/백엔드,"['Spring', 'Java']"
프론트엔드,"['JavaScript', 'CSS', 'HTML5']"
안드로이드앱,['Android']
아이폰앱,"['Swift', 'iOS']"
"서버/백엔드,시스템/네트워크,응용프로그램","['DBA(Database administration)', 'MariaDB', 'MySQL']"
"서버/백엔드,데이터엔지니어","['GCP(Google Cloud Platform)', 'Big Data']"
"서버/백엔드,데이터엔지니어",['Elasticsearch']
"서버/백엔드,프론트엔드",['Python']
"서버/백엔드,웹풀스택,아이폰앱","['Ruby on Rails', 'MySQL', 'Java']"
"서버/백엔드,프론트엔드,시스템소프트웨어","['Java', 'MySQL', 'ReactJS', 'Python', 'Tensorflow', 'GraphQL', 'Google BigQuery', 'GCP(Google Cloud Platform)', 'AWS EC2', 'Node.js', 'MariaDB', 'Aurora DB', 'NoSQL']"
"서버/백엔드,웹풀스택","['JavaScript', 'Node.js', 'MySQL', 'REST API', 'Spring', 'Java']"
"프론트엔드,웹풀스택","['MySQL', 'Vue.js', 'ReactJS', 'HTML', 'CSS', 'JavaScript']"
"프론트엔드,안드로이드앱,아이폰앱","['ReactJS', 'React Native']"
"서버/백엔드,웹풀스택","['AWS CodeDeploy', 'Selenium', 'Amazon Web Services(AWS)', 'NCP(Naver Cloud Platform)', 'Python', 'Spring Boot', 'Java']"
"안드로이드앱,아이폰앱","['REST API', 'iOS', 'Android']"
"프론트엔드,웹풀스택,블록체인","['HTML', 'CSS', 'JavaScript', 'ES6', 'ReactJS']"
"서버/백엔드,머신러닝,데이터엔지니어","['Python', 'Shell', 'Linux']"
"서버/백엔드,프론트엔드,인공지능(AI)","['ReactJS', 'CSS', 'HTML', 'JavaScript', 'Git', 'Node.js', 'Python', 'Django', 'MariaDB', 'MySQL', 'Java']"
"프론트엔드,웹풀스택,머신러닝","['Linux', 'Git', 'TypeScript', 'CSS', 'HTML', 'Vue.js', 'ReactJS', 'JavaScript']"
"데이터엔지니어,시스템/네트워크,블록체인","['C++', 'Linux', 'Pandas', 'SQL', 'Python']"
안드로이드앱,"['Retrofit2', 'RxJava', 'Kotlin', 'Android']"
서버/백엔드,"['Spring', 'Java']"
서버/백엔드,"['Java', 'Spring', 'Kotlin']"
"서버/백엔드,데이터엔지니어","['ReactJS', 'Docker', 'MySQL', 'Node.js']"
"프론트엔드,웹풀스택","['jQuery', 'CSS', 'HTML', 'AngularJS', 'Vue.js', 'React Native', 'ReactJS']"
"서버/백엔드,웹풀스택","['Azure', 'GitHub', 'NestJS', 'TypeScript', 'ExpressJS', 'React Native', 'Node.js']"
"서버/백엔드,웹풀스택","['Azure', 'GitHub', 'NestJS', 'TypeScript', 'ExpressJS', 'React Native', 'Node.js']"
"서버/백엔드,시스템/네트워크,인터넷보안","['C#', 'TypeScript', 'Node.js', 'AWS Security Hub']"
"서버/백엔드,시스템/네트워크,인터넷보안","['C#', 'TypeScript', 'Node.js', 'AWS Security Hub']"
"서버/백엔드,시스템/네트워크,인터넷보안","['AWS CloudTrail', 'AWS GuardDuty', 'Docker', 'AWS Lambda', 'Azure', 'C#', 'TypeScript', 'Node.js']"
프론트엔드,"['HTML', 'CSS', 'JavaScript']"
"서버/백엔드,시스템/네트워크,인터넷보안","['HTML', 'CSS', 'Git', 'Node.js', 'TypeScript', 'Linux', 'React Native']"
"프론트엔드,안드로이드앱,아이폰앱","['Azure', 'GitHub', 'TypeScript', 'ExpressJS', 'React Native', 'Node.js']"
서버/백엔드,"['Jenkins', 'Terraform', 'Redis', 'PostgreSQL', 'AWS Lambda', 'Python', 'Node.js']"
"서버/백엔드,시스템/네트워크,시스템소프트웨어","['jQuery', 'Go', 'Rust', 'Node.js', 'JavaScript', 'Python']"
"서버/백엔드,머신러닝,시스템/네트워크","['jQuery', 'Go', 'Rust', 'Python', 'Node.js', 'Django', 'Java']"
안드로이드앱,"['Android', 'Kotlin', 'Java']"
"서버/백엔드,프론트엔드,웹풀스택","['Java', 'ReactJS', 'Git', 'Node.js', 'Redis']"
프론트엔드,"['TypeScript', 'HTML5', 'CSS3', 'GitHub', 'ReactJS', 'JavaScript', 'Vue.js', 'Vuex', 'Node.js', 'Axios', 'web3.js']"
"프론트엔드,웹풀스택","['Next.js', 'TypeScript', 'styled-components', 'AWS EC2', 'AWS CloudFront', 'AWS Lambda', 'Docker', 'HTML', 'ES6', 'JavaScript', 'ReactJS']"
프론트엔드,"['ReactJS', 'jQuery', 'CSS', 'HTML', 'JavaScript']"
프론트엔드,"['AngularJS', 'Vue.js', 'ReactJS', 'React Native', 'JavaScript', 'CSS', 'HTML']"
안드로이드앱,"['Android', 'Java', 'Kotlin']"
"서버/백엔드,인공지능(AI)","['Go', 'Java']"
"프론트엔드,웹풀스택","['jQuery', 'HTML', 'JavaScript', 'Node.js', 'ES6', 'ReactJS']"
"서버/백엔드,프론트엔드,웹풀스택","['ReactJS', 'JavaScript', 'Python', 'Django']"
프론트엔드,"['React Native', 'ReactJS', 'JavaScript']"
프론트엔드,"['Ionic', 'Vue.js', 'Angular', 'TypeScript', 'Node.js']"
"머신러닝,인공지능(AI),QA","['Data mining', 'Deep Learning', 'Machine Learning']"
"서버/백엔드,프론트엔드,웹풀스택","['Windows Server', 'MSSQL(Microsoft SQL Server)', '.NET']"
서버/백엔드,"['Celery', 'Python', 'Django']"
"서버/백엔드,프론트엔드,아이폰앱","['Realm', 'iOS', 'Swift']"
"프론트엔드,웹풀스택","['ReactJS', 'JavaScript']"
"서버/백엔드,프론트엔드,웹풀스택","['Angular', 'Vue.js', 'TypeScript', 'Redis', 'Scala', 'Kotlin', 'Ionic', 'Spring', 'MySQL', 'JavaScript', 'Node.js', 'Java']"
"프론트엔드,웹풀스택","['ES6', 'jQuery', 'CSS', 'HTML', 'ReactJS', 'JavaScript']"
"프론트엔드,웹풀스택","['HTML5', 'jQuery', 'ReactJS', 'Node.js', 'CSS', 'JavaScript', 'ES6']"
"서버/백엔드,웹풀스택,안드로이드앱","['PHP', 'Java']"
"프론트엔드,웹풀스택","['AngularJS', 'CSS', 'JavaScript']"
"서버/백엔드,웹풀스택","['MongoDB', 'Node.js']"
안드로이드앱,"['Java', 'React Native', 'Android']"
"안드로이드앱,아이폰앱","['iOS', 'Android']"
"서버/백엔드,프론트엔드","['HTML', 'CSS', 'ES6']"
아이폰앱,"['iOS', 'React Native', 'Swift', 'Objective-C']"
"프론트엔드,웹풀스택,머신러닝","['AngularJS', 'ReactJS', 'JavaScript']"
아이폰앱,"['Swift', 'Objective-C', 'iOS']"
프론트엔드,"['TypeScript', 'ES6', 'ReactJS', 'Node.js', 'JavaScript']"
"프론트엔드,인공지능(AI)","['TypeScript', 'Elixir', 'styled-components', 'CSS', 'HTML', 'JavaScript', 'GraphQL', 'Relay', 'ReactJS']"
프론트엔드,"['AWS CloudFront', 'AWS S3', 'GraphQL', 'GatsbyJS', 'ReactJS', 'TypeScript']"
"프론트엔드,웹풀스택,머신러닝","['Node.js', 'Vue.js', 'ReactJS', 'Git', 'Linux', 'TypeScript', 'CSS', 'HTML', 'JavaScript']"
"프론트엔드,웹풀스택","['React Native', 'jQuery', 'Bootstrap', 'JavaScript', 'CSS', 'HTML', 'Vue.js']"
"서버/백엔드,프론트엔드,인공지능(AI)","['Linux', 'JavaScript', 'Python', 'CSS', 'HTML', 'Redux.js', 'ReactJS']"
"프론트엔드,웹풀스택,인공지능(AI)","['CSS', 'HTML', 'Jest', 'Vue.js', 'ReactJS', 'ES6']"
프론트엔드,"['TypeScript', 'Nuxt.js', 'Next.js', 'SEO', 'React Native', 'Angular', 'JavaScript', 'CSS', 'HTML5']"
프론트엔드,"['ECharts', 'D3.js', 'ES6', 'Vue.js', 'jQuery', 'Node.js', 'JavaScript', 'HTML', 'CSS']"
프론트엔드,"['Redux.js', 'CSS', 'HTML', 'JavaScript', 'ReactJS', 'TypeScript']"
프론트엔드,"['ES6', 'Vue.js', 'HTML', 'JavaScript']"
